order_id,legacy_fdos,dbt_fdos,fdos_diff
00663fcb-7e1c-4747-818e-a0d266ee6724,2018-09-04T16:16:00,2018-09-06T07:57:00,39
015f8381-5db4-4d08-9b16-afc03c453982,2019-03-14T15:19:00,2019-03-15T11:49:00,20
01a67ac8-587b-4444-9749-ddd8c34f978a,2018-09-01T13:28:00,2018-09-03T10:15:00,45
01a80360-311b-47f1-8a76-042b9451673b,2019-06-22T13:47:00,2019-06-24T09:04:00,44
01b12908-d94b-49da-a6b4-e4b8d944fe90,2018-12-23T14:34:00,2018-12-24T10:17:00,20
01efeccb-9159-45d3-9f90-be46fffab857,2018-12-23T14:34:00,2018-12-24T10:17:00,20
027a9897-2ba5-47d8-a94d-29f8fbdc180e,2018-09-04T16:16:00,2018-09-06T07:57:00,39
03652365-80af-496d-8349-c77183135f88,2019-07-29T15:09:00,2019-07-30T10:03:00,19
038cbb95-2503-4caa-a935-7c25a3fe5c1a,2018-09-04T16:16:00,2018-09-06T07:57:00,39
0393f3de-1837-4d15-88d9-f3fe7feccff6,2019-02-04T11:38:00,2019-02-09T14:13:00,123
053a3164-b58b-48f2-8c44-6ad6074e3476,2018-09-01T13:28:00,2018-09-03T10:15:00,45
05d44035-28ad-4984-bbbe-2d26f1988c07,2018-09-04T16:16:00,2018-09-06T07:57:00,39
06077f4d-7408-4ee8-a872-e41b3bd715ad,2018-12-23T14:34:00,2018-12-24T10:17:00,20
07e0f442-7ab7-464d-9c78-4b964fade36b,2018-09-01T13:28:00,2018-09-03T10:15:00,45
083e4cc3-0def-4ae1-a80c-bfc843c4fdf4,2019-07-29T15:09:00,2019-07-30T10:03:00,19
08f9854b-13a3-459f-a767-1c08716cbd62,2018-09-01T12:19:00,2018-09-06T14:15:00,122
0a43298e-1375-47d4-ad11-05b308ba28fc,2018-09-04T16:16:00,2018-09-06T07:57:00,39
0aa1e88f-8458-4167-88d0-777127f6a742,2018-12-23T14:34:00,2018-12-24T10:17:00,20
0accbf06-b959-463a-becf-7949725a3d7a,2018-09-04T16:16:00,2018-09-06T07:57:00,39
0aeea7bf-a374-400b-b90d-6db0a63586f3,2018-09-01T12:19:00,2018-09-06T14:15:00,122
0af0c214-b9d7-4724-8bd5-e7134ff89da7,2018-09-04T16:16:00,2018-09-06T07:57:00,39
